rank,Export country,Import country,Inquiry Criteria,Export amount (unit:$),Revenue share,Export Share,Item HS CODE,best_worst
1,Swiss,uk,2019,18572852637,26.18058732,60.7952576,710813,best
2,USA,uk,2019,11078606836,15.61657971,93.49017861,710813,best
3,Canada,uk,2019,10972870917,15.46753269,94.30125682,710813,best
4,australia,uk,2019,8412341359,11.85816965,54.11541079,710813,best
5,uk,China,2019,8223608986,62.60711755,77.39907711,710813,best
6,Swiss,India,2019,6284410380,69.82596597,20.57101057,710813,best
7,Russian Federation,uk,2019,5233358995,7.37702575,99.99747748,710813,best
8,Uzbekistan,Other country,2019,4918250000,50.30751736,67.87520822,710813,best
9,Republic of South Africa,Other country,2019,4621549603,47.27264513,41.93998545,710813,best
10,Republic of South Africa,uk,2019,3830087076,5.398951421,34.75756187,710813,best
11,australia,Hong Kong,2019,2847453591,78.98484702,18.31726914,710813,best
12,Ghana,Swiss,2019,2377844886,50.20562918,40.10900164,710813,best
13,Uzbekistan,uk,2019,2327768287,3.281259056,32.12479178,710813,best
14,Hong Kong,uk,2019,2178805707,3.071279043,60.97893437,710813,best
15,Swiss,Singapore,2019,2120081194,24.52030605,6.939746136,710813,best
16,Republic of South Africa,China,2019,2101791875,16.00114149,19.07349877,710813,best
17,uk,Azerbaijan,2019,2089244801,49.73191296,19.66358319,710813,best
18,australia,China,2019,2079064558,15.82811627,13.37433038,710813,best
19,Japan,uk,2019,1764962846,2.48791959,52.5279619,710813,best
20,Burkina Faso,Swiss,2019,1696368729,35.81699541,72.34276226,710813,best
21,australia,Singapore,2019,1597533920,18.47666059,10.2767114,710813,best
22,Ghana,India,2019,1537624969,17.08452222,25.93634377,710813,best
23,Japan,Singapore,2019,1221906994,14.13225755,36.36579896,710813,best
24,Uganda,Arab Emirates,2019,1148294437,32.1628178,91.36975407,710813,best
25,Mexico,uk,2019,1146494169,1.616116344,77.9661293,710813,best
26,Singapore,Cambodia,2019,1138559264,99.9999011,41.62521611,710813,best
27,turkey,uk,2019,1118230776,1.576275818,94.37121461,710813,best
28,Swiss,Azerbaijan,2019,1096970742,26.11204462,3.590757981,710813,best
29,Ghana,Republic of South Africa,2019,1058886523,58.89173091,17.86108149,710813,best
30,Indonesia,Singapore,2019,985338543,11.39616855,96.41253631,710813,best
31,Germany,uk,2019,914059496,1.288472747,63.31812989,710813,best
32,Hong Kong,Singapore,2019,864634443,10.00013642,24.19880156,710813,best
33,Kyrgyzstan,uk,2019,796285402,1.122456518,100,710813,best
34,Ghana,Arab Emirates,2019,740047062,20.72813213,12.48296262,710813,best
35,brazil,uk,2019,735351801,1.036563549,42.52419013,710813,best
36,Spain,uk,2019,715817654,1.009027906,75.80275357,710813,best
37,Swiss,Germany,2019,701983015,61.22064149,2.297828937,710813,best
38,Zimbabwe,Arab Emirates,2019,644777010,18.05969343,60.604241,710813,best
39,India,Arab Emirates,2019,640044604,17.92714248,57.21005384,710813,best
40,Singapore,Malaysia,2019,584524769,45.72872542,21.36996343,710813,best
41,Burkina Faso,India,2019,563302568,6.258844278,24.0224092,710813,best
42,Singapore,uk,2019,514553527,0.725322804,18.8118462,710813,best
43,Arab Emirates,Singapore,2019,507812226,5.873223738,37.4176937,710813,best
44,Swiss,Italy,2019,489750528,30.78948306,1.603119892,710813,best
45,India,Hong Kong,2019,477179496,13.23637007,42.65244092,710813,best
46,Arab Emirates,Malaysia,2019,425469348,33.28545174,31.35033173,710813,best
47,brazil,Canada,2019,422808782,91.15453926,24.45033929,710813,best
48,Zimbabwe,Republic of South Africa,2019,411685825,22.89659024,38.69540409,710813,best
49,france,Italy,2019,411196582,25.85097815,82.13990855,710813,best
50,Canada,Azerbaijan,2019,378701109,9.014515954,3.254571279,710813,best
51,Swiss,Austria,2019,378426804,88.71154494,1.238719516,710813,best
52,Tanzania,Uganda,2019,371513913,28.31217882,99.98876642,710813,best
53,Thailand,Singapore,2019,362855002,4.196686299,98.26138935,710813,best
54,USA,Azerbaijan,2019,333038235,7.92756718,2.810443997,710813,best
55,Namibia,Republic of South Africa,2019,323239042,17.97747565,90.91952632,710813,best
56,Venezuela,Uganda,2019,309435217,23.5813112,87.90535466,710813,best
57,Hong Kong,China,2019,304643823,2.319282406,8.526164416,710813,best
58,Republic of South Africa,Italy,2019,300557555,18.89535839,2.727522274,710813,best
59,australia,Azerbaijan,2019,291936395,6.949188233,1.877985838,710813,best
